participant_id	sex	age
sub-000103	M	24.45
sub-000148	F	25.01
sub-000149	F	44.32
sub-000159	F	27.34
sub-000175	M	32.60
sub-000179	F	34.35
sub-000183	M	24.64
sub-003617	M	55.92
sub-009673	F	24.37
sub-010769	M	19.82
sub-012059	F	26.31
sub-012322	F	30.03
sub-016504	F	22.44
sub-067018	F	20.02
sub-089207	M	40.32
sub-105822	F	59.38
sub-107738	M	23.13
sub-108142	M	22.29
sub-118003	F	40.80
sub-122916	F	25.42
sub-125171	M	26.31
sub-127867	F	65.00
sub-132674	F	21.82
sub-136038	F	45.85
sub-143104	M	32.31
sub-149050	M	20.09
sub-152686	F	27.54
sub-153486	F	20.36
sub-169618	M	21.28
sub-171967	M	21.65
sub-177856	F	29.16
sub-182744	F	20.98
sub-185823	F	27.58
sub-195765	F	31.20
sub-196711	F	22.32
sub-212152	F	23.84
sub-217720	M	22.93
sub-219843	F	25.07
sub-228373	F	29.34
sub-253306	F	29.07
sub-253493	M	25.84
sub-257563	M	20.15
sub-258056	M	28.74
sub-261051	F	23.15
sub-262577	F	24.60
sub-275147	F	19.79
sub-275211	M	39.25
sub-278729	F	22.34
sub-279373	M	63.67
sub-281888	F	21.44
sub-282628	F	22.84
sub-292060	F	18.42
sub-292213	F	21.68
sub-307592	F	29.62
sub-313623	F	33.85
sub-335448	M	40.42
sub-337488	F	24.30
sub-351288	M	23.20
sub-365622	F	60.28
sub-367500	F	23.08
sub-401697	F	44.30
sub-402511	F	19.15
sub-407309	F	20.62
sub-409228	M	29.81
sub-424015	M	54.92
sub-436999	M	33.45
sub-440735	M	31.47
sub-441269	F	22.17
sub-453666	F	23.25
sub-460834	M	40.63
sub-468609	F	29.28
sub-502250	M	21.54
sub-508037	F	32.89
sub-513281	M	21.20
sub-517724	M	34.75
sub-519991	M	21.20
sub-535925	M	27.28
sub-549056	F	25.05
sub-561646	F	31.44
sub-567551	F	25.39
sub-567742	F	18.55
sub-570379	F	19.85
sub-579247	F	18.15
sub-581638	F	18.61
sub-584264	F	19.03
sub-593354	F	21.63
sub-597083	F	26.36
sub-598630	M	53.74
sub-599619	F	20.33
sub-602346	F	21.58
sub-603309	F	64.64
sub-607339	F	67.11
sub-607974	F	29.26
sub-611047	M	32.21
sub-613957	M	67.84
sub-630780	F	19.95
sub-645865	M	19.01
sub-652881	F	21.22
sub-654178	F	24.55
sub-654601	M	74.80
sub-664050	F	27.44
sub-669067	F	33.01
sub-672229	F	20.57
sub-678878	M	18.57
sub-680990	M	25.52
sub-687508	M	37.72
sub-691641	F	39.16
sub-691777	F	18.95
sub-694330	F	71.36
sub-697441	M	24.75
sub-707576	F	25.16
sub-714347	M	26.11
sub-723372	F	67.38
sub-740606	F	19.62
sub-750675	F	23.83
sub-754006	M	29.28
sub-754183	F	32.12
sub-757271	M	23.50
sub-764976	F	23.27
sub-772389	M	21.02
sub-778481	F	21.50
sub-780660	F	21.33
sub-788339	M	31.87
sub-791907	M	45.16
sub-802945	F	23.99
sub-809320	F	23.56
sub-811563	F	40.00
sub-830976	F	27.60
sub-848092	F	30.22
sub-862915	F	23.71
sub-865293	F	25.15
sub-886764	M	30.70
sub-890465	F	25.17
sub-914102	F	20.67
sub-923660	F	33.28
sub-926536	F	31.01
sub-927452	M	19.67
sub-938344	F	26.64
sub-945122	F	24.88
sub-945652	F	20.43
sub-946200	M	19.90
sub-966788	F	53.11
sub-986786	M	23.99
sub-987325	M	26.05
sub-988484	F	28.04
sub-988653	F	62.73
sub-992121	M	29.20
sub-992238	M	22.20
